NewsText,Theme,Source
0,"Masu bibiyarmu a wannan shafin a nan muka zo ƙarshen kawo muku labarai da rahotanni kai tsaye, sai kuma gobe Laraba idan Allah ya kai mu za mu ci gaba da kawo muku wasu labaran",News2020-12-31 ,WWW.BBC
1,Za ku iya ziyartar shafinmu na Facebook ko Twitter ko kuma Instagram domin bayyana ra'ayoyinku kan labaran da muka wallafa ko kuma tafka muhawara a kai,News2020-12-31 ,WWW.BBC
2,"TWITTER/LAGOS STATE GOVTCopyright: TWITTER/LAGOS STATE GOVTGwamnan jihar Legas, Babajide Sanwo-Olu, ya yi ta'aziyya bisa rasuwar Sarkin Hausawan Legas, Muhammadu Sani Kabir",News2020-12-31 ,WWW.BBC
3,Sarkin Hausawan na Legas ya rasu ne a ranar Alhamis yana da shekara 57,News2020-12-31 ,WWW.BBC
4,"A wani saƙo da gwamnan ya wallafa a shafinsa na Twitter, ya bayyana sarkin a matsayin mai hangen nesa kuma mai son jama'a na ƙasa da shi",News2020-12-31 ,WWW.BBC
5,"Ya kuma bayyana shi a matsayin wanda ya bayar da gudunmawa wurin ci gaban Dimokraɗiyya, musamman a matsayinsa na ɗan jam'iyyar NADECO a 1993",News2020-12-31 ,WWW.BBC
6,View more on twitterView more on twitter,News2020-12-31 ,WWW.BBC
7,View more on twitterView more on twitter,News2020-12-31 ,WWW.BBC
8,An sake samun mutum fiye da mutm dubu 53 da aka tabbatar sun kamu da cutar korona a Birtaniya cikin kwana guda,News2020-12-31 ,WWW.BBC
9,Wannan adadi na zuwa ne yayin da gwamnatin ƙasar ke fuskantar ƙarin matsin lamba bayan tsaurara matakan hana kamuwa da cutar,News2020-12-31 ,WWW.BBC
10,"Farfesa Andrew Hayward, wani mai bai wa gwamnati shawara, ya shaida wa BBC cewa Birtaniya na shiga wani sabon yanayi mai hatsari, kuma ana bukatar daukar kwararan matakai don hana afkuwar wani mummunan bala'i",News2020-12-31 ,WWW.BBC
11,Ya bayyaba cewa muddin ana son dakile irin yanayin da ake ciki ya kamata a dauki mataki a yanzu,News2020-12-31 ,WWW.BBC
12,Video contentVideo caption: Latsa lasifikar da ke sama domin sauraren labaranLatsa lasifikar da ke sama domin sauraren labaran,News2020-12-31 ,WWW.BBC
